0.662247590639402;	0.661034560822945;	0.657861707058339;	0.653214970094019;	0.647618456543969;	0.641451696457864;	0.634974681616401;	0.628316759291505;	0.621626705406858;	0.614942177588721;	0.608354917252619;	0.601881318013921;	0.595514896481813;	0.589271653610222;	0.583154986005459;	0.577171887950215;	0.571280593924969;	0.565448830372470;	0.559665572462030;	0.553930864992839;	0.548240010269631;	0.542580873711899;	0.536968049667653;	0.531345072334909;	0.525700184259070;	0.520022430933421;	0.514302200506189;	0.508532294382599;	0.502707675311035;	0.496845558039998;	0.490974519854353;	0.485053271839277;	0.479075007843315;	0.473036336301259;	0.466937178885833;	0.460777516915078;	0.454391753938812;	0.447899814931031;	0.441380538884662;	0.434816566472916;	0.428210081812607;	0.421565479816996;	0.414885451775043;	0.408169669916804;	0.401418954096939;	0.394660369161133;	0.387915283221910;	0.381155768278746;	0.374400981668231;	0.367649031233524;	0.360886955739169;	0.354116574244646;	0.347344258508262;	0.340568803278317;	0.333799340319573;	0.327051087086355;	0.320316302795349;	0.313587969092113;	0.306864548523348;	0.300148352039469;	0.293450251016083;	0.286778728778733;	0.280128241670389;	0.273493101611400;	0.266902919397229;	0.260377724170504;	0.253883144093003;	0.247421921219729;	0.241010170534909;	0.234649755434772;	0.228336750747461;	0.222067644601486;	0.215838640711969;	0.209649292596448;	0.203492109671085;	0.197301713405055;	0.191161268145088;	0.185070443394139;	0.179030717049353;	0.173042149693948;	0.167108911691981;	0.161237327320538;	0.155452740142884;	0.149753383258095;	0.144119947556262;	0.138553077616480;	0.133050906032880;	0.127611945676623;	0.122239901356047;	0.116939680834326;	0.111715982683424;	0.106560230931986;	0.101467765572352;	0.096440033144286;	0.091485619390520;	0.086614897188578;	0.081805471033030;	0.077058531028511;	0.072381378822717;	0.067778034229282;
0.711907457801017;	0.710698639596208;	0.707530555987075;	0.702896404474169;	0.697321156065946;	0.691152196652506;	0.684659801824966;	0.677977798528767;	0.671260401663224;	0.664544085082956;	0.657924903701949;	0.651417649269983;	0.645016414749545;	0.638739658124126;	0.632590363260195;	0.626575407206369;	0.620653666818753;	0.614792183739855;	0.608980212932702;	0.603217862660631;	0.597500256050686;	0.591815112306954;	0.586178873413433;	0.580532769057962;	0.574864900381756;	0.569164154691084;	0.563420830445446;	0.557627638522230;	0.551779440248527;	0.545891017883561;	0.539987823693199;	0.534035083917260;	0.528025367714472;	0.521954902919059;	0.515823575661551;	0.509631348608255;	0.503292012119630;	0.496867920056384;	0.490404021512017;	0.483885582039706;	0.477314833310402;	0.470696220723307;	0.464032473136387;	0.457307147202810;	0.450499583527756;	0.443680049447825;	0.436867804949573;	0.430039716377518;	0.423216986958966;	0.416397247701537;	0.409566232021316;	0.402725837678716;	0.395882672533645;	0.389035488049402;	0.382193365600851;	0.375371530888659;	0.368562843060402;	0.361759987351585;	0.354961400923625;	0.348169435524725;	0.341395366630679;	0.334646011288127;	0.327916548306383;	0.321201969270641;	0.314527620786470;	0.307908800594814;	0.301319847158462;	0.294763580942536;	0.288255337328080;	0.281796876968164;	0.275385145624407;	0.269016537125987;	0.262687292566003;	0.256396997839415;	0.250136485828868;	0.243817633562127;	0.237535092472875;	0.231289248481314;	0.225082341398235;	0.218915069360188;	0.212792450127846;	0.206721727366370;	0.200755611764718;	0.194893262127572;	0.189096069726131;	0.183364827398961;	0.177697485839152;	0.172092364383731;	0.166553580522828;	0.161086511441395;	0.155696137224408;	0.150372653783647;	0.145111146380411;	0.139913206644415;	0.134788547814330;	0.129749559425822;	0.124769577095112;	0.119849877850346;	0.114997853626974;	0.110217958496331;
0.860501561946945;	0.859322190069847;	0.856212312639800;	0.851672934045479;	0.846207446495992;	0.840086361421061;	0.833602209690269;	0.826898469759234;	0.820140882241422;	0.813349807565661;	0.806634863049937;	0.800026643038169;	0.793520969552739;	0.787143671665840;	0.780896495024404;	0.774785964974830;	0.768772885500105;	0.762822243842013;	0.756924134344718;	0.751078855664005;	0.745280993393852;	0.739517828092118;	0.733811344650775;	0.728095859227122;	0.722359048749815;	0.716589325964070;	0.710776720263219;	0.704913670941124;	0.698994735061004;	0.693027397414251;	0.687027735209737;	0.680980520151207;	0.674876447327943;	0.668710602772461;	0.662482765988706;	0.656192843687787;	0.649795505801218;	0.643324795640898;	0.636808220229493;	0.630235274776760;	0.623608268045119;	0.616931787516488;	0.610208650211842;	0.603438432508318;	0.596621952322828;	0.589778611060270;	0.582923768188707;	0.576038059959460;	0.569137710297284;	0.562223415401132;	0.555284374225097;	0.548322522012493;	0.541345032917663;	0.534350488877006;	0.527347714268852;	0.520351876332658;	0.513357750494099;	0.506357430511508;	0.499349374181950;	0.492336055820290;	0.485329558569430;	0.478333169760671;	0.471343909003518;	0.464358746142870;	0.457401724954193;	0.450502029867742;	0.443629956354841;	0.436788560110956;	0.429990837707593;	0.423238241568340;	0.416530330255244;	0.409863214699491;	0.403233248128105;	0.396640113568315;	0.390081321884010;	0.383526599309679;	0.377005159077570;	0.370517451247700;	0.364065922102621;	0.357651147351223;	0.351278516782946;	0.344955746463328;	0.338684914983644;	0.332459900738087;	0.326277720914422;	0.320140074940753;	0.314044361630568;	0.307988224175484;	0.301977423844278;	0.296019427210320;	0.290121143714072;	0.284267400727238;	0.278452324019621;	0.272678232562348;	0.266960149999245;	0.261320600875990;	0.255712358373390;	0.250137049720393;	0.244602914114498;	0.239116230886142;
1.106656844316456;	1.105535398732121;	1.102554769522561;	1.098216755956180;	1.092894856190451;	1.086856976614106;	1.080421784936595;	1.073756917028148;	1.067004111559353;	1.060210847690300;	1.053505370900297;	1.046885352370136;	1.040356058914723;	1.033949917378037;	1.027664570087787;	1.021510149199440;	1.015449838868462;	1.009447680908743;	1.003495714858227;	0.997594641669578;	0.991738401706325;	0.985911959883006;	0.980128227696809;	0.974333363664779;	0.968514423874376;	0.962659197248817;	0.956757266081416;	0.950800774827131;	0.944783775400279;	0.938706623736917;	0.932574881962362;	0.926387259589415;	0.920135553147137;	0.913815208598572;	0.907425838915699;	0.900967250403995;	0.894440538166614;	0.887851447897532;	0.881207599991010;	0.874503847725042;	0.867742615012676;	0.860928736815404;	0.854065212569914;	0.847151495674869;	0.840188470540044;	0.833191407640610;	0.826172349216730;	0.819116727295133;	0.812053313564470;	0.804979027374279;	0.797874154622413;	0.790740663591315;	0.783586609085352;	0.776410185602663;	0.769219521741303;	0.762029162841820;	0.754836677007430;	0.747633379628917;	0.740417630939630;	0.733191405598500;	0.725963230333793;	0.718737971029671;	0.711513942263216;	0.704289478704182;	0.697075291527989;	0.689871678548071;	0.682678626112508;	0.675499615728954;	0.668345983762037;	0.661218566857929;	0.654119332069771;	0.647043902427650;	0.639988900329778;	0.632954204158604;	0.625940843417339;	0.618950980117797;	0.611984617531761;	0.605042271116890;	0.598126764173146;	0.591238295896362;	0.584382926333870;	0.577569358673215;	0.570799167523522;	0.564065129014822;	0.557364351058896;	0.550700434644732;	0.544069138463483;	0.537466018026331;	0.530899006221404;	0.524379610396918;	0.517922099212498;	0.511496085570309;	0.505093252330108;	0.498716975892500;	0.492397790690637;	0.486195332549129;	0.479993199229597;	0.473789570595864;	0.467589053103727;	0.461394108603600;
1.451987535636324;	1.450942369842538;	1.448120743757396;	1.443977245257910;	1.438826267872665;	1.432890476553995;	1.426527411561382;	1.419907206921076;	1.413154851939301;	1.406336036752810;	1.399594529230642;	1.392918430980824;	1.386324977501134;	1.379853603161029;	1.373496371343813;	1.367263682971321;	1.361126583377903;	1.355049151434188;	1.349025907037505;	1.343057984297295;	1.337138009783800;	1.331246974557307;	1.325374300756337;	1.319491525306733;	1.313585060768065;	1.307642151477446;	1.301652023794664;	1.295606854450562;	1.289500377538975;	1.283330537092964;	1.277098738712471;	1.270816225459823;	1.264469455687909;	1.258050717560460;	1.251559525605625;	1.244995672012268;	1.238360315801557;	1.231657607009856;	1.224893243299828;	1.218064663327830;	1.211174288632081;	1.204227064650656;	1.197226138202225;	1.190170643708558;	1.183061441215089;	1.175911885578212;	1.168731998588124;	1.161509389038506;	1.154246680739034;	1.146948007722076;	1.139610333701703;	1.132235440643092;	1.124832302025253;	1.117398743318115;	1.109941998025375;	1.102475533428617;	1.094995604351355;	1.087496954439686;	1.079977697355220;	1.072439477082075;	1.064888291491320;	1.057329065860440;	1.049761087550221;	1.042183842767388;	1.034606472560460;	1.027030509557894;	1.019456201333527;	1.011887393486467;	1.004333922960761;	0.996795832348146;	0.989277305968725;	0.981772988736954;	0.974279714783057;	0.966797390308530;	0.959327226246501;	0.951871464771201;	0.944430018698437;	0.937003570351399;	0.929595678528165;	0.922205708731147;	0.914840692450327;	0.907511132880745;	0.900217637711152;	0.892950985202175;	0.885708618044254;	0.878499803003291;	0.871316435543435;	0.864148047682520;	0.857004256734548;	0.849905745011283;	0.842902411784169;	0.835909018829281;	0.828909730317522;	0.821905990252866;	0.815008228761607;	0.808568769427174;	0.802130350924197;	0.795691088922715;	0.789255553692132;	0.782826109935468;
1.897043805576714;	1.896093378660284;	1.893462925082228;	1.889483909312835;	1.884543516154766;	1.878762674197169;	1.872548645520884;	1.866026832099414;	1.859328944821572;	1.852543217101509;	1.845805969707221;	1.839109984892003;	1.832496304093751;	1.826003421916342;	1.819611261908168;	1.813311823769523;	1.807102186071601;	1.800951089980837;	1.794855778268099;	1.788818439235082;	1.782829016263967;	1.776867657429018;	1.770917799552537;	1.764956578268494;	1.758969970913746;	1.752944738268126;	1.746870176662527;	1.740738398583645;	1.734542827313433;	1.728280433749836;	1.721950943643318;	1.715547200850232;	1.709067167158970;	1.702510371644636;	1.695876149687945;	1.689164217041336;	1.682375804591302;	1.675514028161036;	1.668583362357097;	1.661582832679491;	1.654514753654502;	1.647384011964103;	1.640193990026903;	1.632943288975129;	1.625632657422378;	1.618274473212848;	1.610876891276185;	1.603428622273859;	1.595932464514348;	1.588393273165430;	1.580807059346681;	1.573175447231463;	1.565505522543224;	1.557796722154901;	1.550056257136905;	1.542296505765090;	1.534512496996299;	1.526701606322060;	1.518861771499492;	1.510994566300953;	1.503104603309389;	1.495196243279574;	1.487269505136329;	1.479324785303139;	1.471370338243072;	1.463408486434250;	1.455439630170784;	1.447467999762744;	1.439502375990842;	1.431542038818261;	1.423593176028800;	1.415649113227610;	1.407707010259104;	1.399766767359671;	1.391829887451194;	1.383898726804751;	1.375972871826327;	1.368053306110321;	1.360145168300869;	1.352245603499258;	1.344363002753324;	1.336512158844441;	1.328691285920739;	1.320885913312681;	1.313094176965556;	1.305347148078712;	1.297625764481959;	1.289893951626259;	1.282159006509880;	1.274483947332763;	1.267208843432693;	1.259945585386344;	1.252676555507659;	1.245408117303330;	1.238163194668905;	1.231044303547432;	1.223953614740709;	1.216885858586996;	1.209843489420731;	1.202826533555955;
2.442403814140460;	2.441528343469852;	2.439078426080798;	2.435310983558194;	2.430614929700599;	2.425070568460926;	2.419069083490388;	2.412700363094946;	2.406124259357656;	2.399435290265921;	2.392744120438119;	2.386062104551397;	2.379437728563877;	2.372908918795223;	2.366458580923041;	2.360092005573776;	2.353805470205705;	2.347572924270775;	2.341393978537388;	2.335272854645441;	2.329196022091798;	2.323143510921015;	2.317096294343326;	2.311034613194941;	2.304943913243120;	2.298810623967899;	2.292624350094709;	2.286377218096476;	2.280062347672923;	2.273676058311856;	2.267216948490168;	2.260678601816165;	2.254058860182338;	2.247357188724610;	2.240572710074150;	2.233705041398798;	2.226755544471354;	2.219726480584276;	2.212621489066267;	2.205440972175110;	2.198187083926096;	2.190864457313279;	2.183476935313530;	2.176022439672782;	2.168501567106521;	2.160926551533809;	2.153303912168417;	2.145623014620113;	2.137886075327978;	2.130097420735376;	2.122254279526110;	2.114358176639817;	2.106413505731522;	2.098421313433018;	2.090389027497083;	2.082328151869069;	2.074234056950323;	2.066104807556389;	2.057938248804034;	2.049735976902405;	2.041501797689014;	2.033239523641707;	2.024949668448229;	2.016633325489895;	2.008298307123781;	1.999947402467139;	1.991581112075805;	1.983204038266209;	1.974824194014897;	1.966440178054070;	1.958059988721212;	1.949675339002880;	1.941283818827996;	1.932885212085522;	1.924481584222893;	1.916075414928613;	1.907665311209725;	1.899252854060230;	1.890847735213948;	1.882439895902273;	1.874039597427750;	1.865677378710677;	1.857345043334581;	1.849005355337432;	1.840653953090904;	1.832476476288087;	1.824468632777834;	1.816449514449519;	1.808426205983317;	1.800418046544487;	1.792511008036728;	1.784637742160202;	1.776777318446675;	1.768937293107598;	1.761121688427163;	1.753374776670343;	1.745655005896609;	1.737958125645215;	1.730288670198840;	1.722647094539303;
3.088278883545754;	3.087474335048620;	3.085202007655194;	3.081665350465510;	3.077243112335962;	3.071958647348608;	3.066171951385596;	3.059968743320702;	3.053544002543074;	3.046971520174541;	3.040333609892075;	3.033686074148155;	3.027082156180338;	3.020548390175201;	3.014069210132756;	3.007659442275501;	3.001314729322252;	2.995017864548345;	2.988770213015326;	2.982577216214449;	2.976422468726147;	2.970285538771505;	2.964146957765125;	2.957989350328538;	2.951797661461587;	2.945558249957685;	2.939261247926519;	2.932898941176902;	2.926464167417619;	2.919952834189036;	2.913362853899931;	2.906688265291260;	2.899926821164542;	2.893078006336163;	2.886140714327334;	2.879114463391858;	2.872000876582052;	2.864801422026934;	2.857519135657675;	2.850155847838914;	2.842713457499945;	2.835196112079955;	2.827608357310903;	2.819947440846252;	2.812213809675830;	2.804418663848087;	2.796567400035461;	2.788650834299136;	2.780670214417652;	2.772628216786592;	2.764524304089745;	2.756359951403513;	2.748138540247445;	2.739861519071725;	2.731536055973675;	2.723173015457188;	2.714768325628813;	2.706320217495161;	2.697826607238531;	2.689289088732311;	2.680710940251462;	2.672095548779917;	2.663443772623387;	2.654757278568304;	2.646043693685315;	2.637306013107430;	2.628544880258890;	2.619765215151152;	2.610974416457472;	2.602170589141626;	2.593363192806883;	2.584542326780720;	2.575706037119529;	2.566853624802863;	2.557988674876924;	2.549113890420623;	2.540224406080142;	2.531323275762340;	2.522440914373497;	2.513534959374143;	2.504615016013648;	2.495828421013973;	2.487206215282567;	2.478575054304198;	2.469930613079728;	2.461309614881316;	2.452726634349295;	2.444147270763680;	2.435576761174639;	2.427026083597887;	2.418528369587953;	2.410061150779260;	2.401605229613124;	2.393171459212398;	2.384759505924299;	2.376396386301790;	2.368056164370468;	2.359735676256482;	2.351441393872019;	2.343172467362245;
3.834831955231677;	3.834092565540985;	3.831988009496898;	3.828683553530482;	3.824530207067501;	3.819519889974978;	3.813973263690408;	3.807988582025965;	3.801759212747690;	3.795323149008161;	3.788789080860987;	3.782230687647271;	3.775686734538980;	3.769175365282084;	3.762698910578572;	3.756273613617324;	3.749898222608202;	3.743561742035755;	3.737267627462100;	3.731020199490577;	3.724800745025932;	3.718589753429097;	3.712369217436878;	3.706123569611175;	3.699837352018678;	3.693497256925633;	3.687094037756547;	3.680620285781707;	3.674068652829769;	3.667434792297247;	3.660716236793284;	3.653907355247997;	3.647005849628889;	3.640011368153643;	3.632922551005261;	3.625738817686408;	3.618462268797944;	3.611093522210772;	3.603635131388470;	3.596090580238153;	3.588461462947889;	3.580751230029666;	3.572963719077337;	3.565096768818623;	3.557151113805122;	3.549135988718145;	3.541055569028532;	3.532902810394507;	3.524678659971363;	3.516385065353384;	3.508022080785281;	3.499591165541251;	3.491095179482652;	3.482535825559123;	3.473919902066323;	3.465257873201448;	3.456546020448905;	3.447782478321246;	3.438965465072630;	3.430096515911848;	3.421178501173273;	3.412214514572243;	3.403205683537951;	3.394154220263476;	3.385067678290297;	3.375948995032512;	3.366799161316220;	3.357623262503604;	3.348428113887361;	3.339211906677420;	3.329984343880101;	3.320735106172632;	3.311462460896569;	3.302163559019075;	3.292848348477786;	3.283521866772295;	3.274160706771370;	3.264770992740296;	3.255600749119262;	3.246404357437895;	3.237192862306525;	3.228001690974751;	3.218849042325528;	3.209698777072050;	3.200545101284557;	3.191399504527628;	3.182266787035716;	3.173133839809388;	3.164007079772146;	3.154896782745714;	3.145821602722385;	3.136770243960618;	3.127724989624731;	3.118698645858094;	3.109689830852804;	3.100718735818281;	3.091765466799820;	3.082827867552273;	3.073914265984809;	3.065022018482151;
4.682237835534822;	4.681560770833718;	4.679616258990853;	4.676535394940585;	4.672651109261469;	4.667942270841657;	4.662647230143520;	4.656934018399397;	4.650913695742265;	4.644653511576434;	4.638282901519966;	4.631854575334529;	4.625399964099831;	4.618947301054212;	4.612509275508089;	4.606096706138704;	4.599719456669117;	4.593370141680193;	4.587053703167701;	4.580772459683127;	4.574505835574963;	4.568235681586255;	4.561946480184498;	4.555624359530942;	4.549253545023506;	4.542821630007473;	4.536319860641058;	4.529741286097382;	4.523078841409082;	4.516328023749848;	4.509486245214074;	4.502548139064700;	4.495511380732643;	4.488376000863513;	4.481140343274539;	4.473803707958631;	4.466368954083745;	4.458835784410977;	4.451206368003798;	4.443484704525673;	4.435673209864999;	4.427774672212321;	4.419790384579276;	4.411719887726077;	4.403564681499684;	4.395333536165079;	4.387028616638760;	4.378644214928386;	4.370181160595408;	4.361641006149225;	4.353024075894083;	4.344331815780107;	4.335566754534538;	4.326730829337057;	4.317830426133011;	4.308875800078530;	4.299863401470458;	4.290791072234070;	4.281657442742649;	4.272464001674575;	4.263213352381440;	4.253908335915877;	4.244550288080398;	4.235141997388720;	4.225691022642268;	4.216199959856115;	4.206670507458384;	4.197107590959186;	4.187517453813749;	4.177900059013762;	4.168261137918374;	4.158595962558392;	4.148903134570006;	4.139165855569731;	4.129446996818372;	4.119840346738068;	4.110195696342245;	4.100514692994888;	4.090849293451734;	4.081166204161041;	4.071477193414601;	4.061800386563649;	4.052139974710812;	4.042477456381608;	4.032808166355418;	4.023137670221706;	4.013467707945932;	4.003791081715611;	3.994114693126866;	3.984448953388154;	3.974807567556645;	3.965182279115289;	3.955556921934212;	3.945945419072796;	3.936346556361448;	3.926776890446816;	3.917219543183145;	3.907673171874019;	3.898147898113045;	3.888639320580781;
5.630636298804705;	5.630019101811644;	5.628232407756306;	5.625370501361798;	5.621752545790502;	5.617356041760160;	5.612326499893550;	5.606906773898753;	5.601114797518744;	5.595083610166690;	5.588913773658355;	5.582642687151216;	5.576310782193223;	5.569951042369646;	5.563583728765903;	5.557215585017627;	5.550867569739242;	5.544534434506687;	5.538219117722800;	5.531923586848499;	5.525628088034955;	5.519315754481005;	5.512973134139877;	5.506588508568164;	5.500145745220713;	5.493633580242060;	5.487043760590359;	5.480370049829689;	5.473605896654628;	5.466746727466702;	5.459790101687792;	5.452730872220370;	5.445566705528605;	5.438298316788399;	5.430923666566598;	5.423441878107224;	5.415855905959339;	5.408165421212459;	5.400372472783589;	5.392479643467204;	5.384491412629179;	5.376410076545702;	5.368236007193178;	5.359969262095954;	5.351611780362060;	5.343172119924637;	5.334650386197454;	5.326042053422213;	5.317347895437734;	5.308569201849407;	5.299706451303683;	5.290761090479825;	5.281735415387891;	5.272631601667474;	5.263455627228829;	5.254217700356271;	5.244914200391329;	5.235542535022041;	5.226101861669302;	5.216593634896906;	5.207020253692944;	5.197384369743770;	5.187687475041814;	5.177933018825779;	5.168128575637110;	5.158276108341239;	5.148378866630877;	5.138440414647427;	5.128467527045961;	5.118466687370909;	5.108427098112502;	5.098393540416750;	5.088432383811295;	5.078423136921280;	5.068377159118878;	5.058319577243090;	5.048229201070556;	5.038106522638092;	5.027972446691754;	5.017815822559468;	5.007650119919336;	4.997489801419317;	4.987334764137155;	4.977171088750760;	4.966994579377364;	4.956808489467949;	4.946613477059321;	4.936404795809693;	4.926189525725531;	4.915978343121201;	4.905783169798498;	4.895595774143416;	4.885401750431730;	4.875215725161997;	4.865037229728340;	4.854880261545279;	4.844729766922873;	4.834585061599274;	4.824458064108571;	4.814342655586529;
